FilePath,FileName,ClassName,Comment
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-legacy\src\test\java\org\apache\commons\math4\legacy\analysis\solvers\BaseSecantSolverAbstractTest.java,BaseSecantSolverAbstractTest.java,BaseSecantSolverAbstractTest,""" Skip test, if needed."""
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-legacy\src\test\java\org\apache\commons\math4\legacy\analysis\solvers\UnivariateSolverUtilsTest.java,UnivariateSolverUtilsTest.java,UnivariateSolverUtilsTest,"""             Assert.fail( Expecting MathIllegalArgumentException ); // TODO needs rework since convergence behaviour was changed"""
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-legacy\src\test\java\org\apache\commons\math4\legacy\distribution\EmpiricalDistributionTest.java,EmpiricalDistributionTest.java,EmpiricalDistributionTest,"""TODO: replace with statistical tests"""
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-legacy\src\test\java\org\apache\commons\math4\legacy\fitting\leastsquares\AbstractLeastSquaresOptimizerAbstractTest.java,AbstractLeastSquaresOptimizerAbstractTest.java,LinearProblem,"""TODO more specific test? could pass with 'return 1;'"""
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-legacy\src\test\java\org\apache\commons\math4\legacy\fitting\leastsquares\AbstractLeastSquaresOptimizerAbstractTest.java,AbstractLeastSquaresOptimizerAbstractTest.java,LinearProblem,"""TODO what is this actually testing?"""
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-legacy\src\test\java\org\apache\commons\math4\legacy\fitting\leastsquares\AbstractLeastSquaresOptimizerAbstractTest.java,AbstractLeastSquaresOptimizerAbstractTest.java,LinearProblem,"""TODO why is this part here? hasn't it been tested already?"""
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-legacy\src\test\java\org\apache\commons\math4\legacy\fitting\leastsquares\AbstractLeastSquaresOptimizerAbstractTest.java,AbstractLeastSquaresOptimizerAbstractTest.java,LinearProblem,"""TODO move to builder test"""
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-legacy\src\test\java\org\apache\commons\math4\legacy\fitting\leastsquares\AbstractLeastSquaresOptimizerAbstractTest.java,AbstractLeastSquaresOptimizerAbstractTest.java,LinearProblem,"""TODO move to builder test"""
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-legacy\src\test\java\org\apache\commons\math4\legacy\fitting\leastsquares\GaussNewtonOptimizerWithCholeskyTest.java,GaussNewtonOptimizerWithCholeskyTest.java,GaussNewtonOptimizerWithCholeskyTest,"""
         * TODO This test leads to a singular problem with the Gauss-Newton
         * optimizer. This should be inquired.
         """
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-legacy\src\test\java\org\apache\commons\math4\legacy\fitting\leastsquares\GaussNewtonOptimizerWithLUTest.java,GaussNewtonOptimizerWithLUTest.java,GaussNewtonOptimizerWithLUTest,"""
         * TODO This test leads to a singular problem with the Gauss-Newton
         * optimizer. This should be inquired.
         """
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-legacy\src\test\java\org\apache\commons\math4\legacy\fitting\leastsquares\GaussNewtonOptimizerWithQRTest.java,GaussNewtonOptimizerWithQRTest.java,GaussNewtonOptimizerWithQRTest,"""
         * TODO This test leads to a singular problem with the Gauss-Newton
         * optimizer. This should be inquired.
         """
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-legacy\src\test\java\org\apache\commons\math4\legacy\fitting\leastsquares\GaussNewtonOptimizerWithSVDTest.java,GaussNewtonOptimizerWithSVDTest.java,GaussNewtonOptimizerWithSVDTest,"""
         * TODO This test leads to a singular problem with the Gauss-Newton
         * optimizer. This should be inquired.
         """
C:\Users\simon\Documents\Code\thesis-code\commons-math-master\commons-math-legacy\src\test\java\org\apache\commons\math4\legacy\fitting\leastsquares\LevenbergMarquardtOptimizerTest.java,LevenbergMarquardtOptimizerTest.java,LevenbergMarquardtOptimizerTest,"""TODO check that it is a bad fit? Why the extra conditions?"""
