instance_id,type,smell,refactoring
AA_0001,GF,"A variable is initialised in the `setUp` method for every test case, despite only being used in 17 out of 55 tests.","Inline fixture."
AA_0002,UT,"No assertions are performed; verifies only that the execution completes without throwing an exception.","Add assert statements."
AA_0003,LT/5,"Monolithic test cases perform many similar assertions to verify logic across different primitive types.","Parameterise test using `@ParameterizedTest`."
AA_0004,IgT,"Contains `@Disabled` tests.","Remove `@Disabled` tests."
AA_0005,IgT,"Contains `@Disabled` tests.","Remove `@Disabled` tests."
AA_0006,IgT,"Contains `@Disabled` tests.","Remove `@Disabled` tests."
AA_0007,IgT,"Contains `@Disabled` tests.","Remove `@Disabled` tests."
AA_0008,IgT,"Contains `@Disabled` tests.","Remove `@Disabled` tests."
AA_0009,GF,"A full suite of comparators (e.g., `cMillis` through `cYear`) is initialised in the `setUp` method for every execution, despite the majority of test cases requiring only a single instance.","Inline fixtures."
AA_0010,GF,"Two variables are initialised in the `setUp` method for every test case, despite only being used in 2 out of 8 tests.","Inline fixtures."
AA_0011,EmT/f,"Empty `setUp` and `tearDown`.","Remove fixtures."
AA_0012,EmT/f,"Empty `setUp` and `tearDown`.","Remove fixtures."
AA_0013,UT,"No assertions are performed; verifies only that the execution completes without throwing an exception.","Add assert statements."
AA_0014,EmT/f,"Empty `setUp` and `tearDown`.","Remove fixtures."
AA_0015,UT,"No assertions are performed; verifies only that the execution completes without throwing an exception.","Add assert statements."
AA_0016,UT,"No assertions are performed; verifies only that the execution completes without throwing an exception.","Add assert statements."
AA_0017,LT/4,"Repetitive tests verify different date patterns using identical flows.","Parameterise test using data-driven loop."
AA_0018,ET,"Groups independent checks of production methods.","Extract tests."
AA_0019,ET,"Groups independent checks of production methods.","Extract tests."
AA_0020,ET,"Groups independent checks of production methods.","Extract tests."
AA_0021,LT/4,"Repetitive tests verify different date formats using identical flows.","Parameterise test using data-driven loop."
AA_0022,ET,"Contains `catch-all' methods that test multiple behaviours (e.g., formatting, parsing and exception handling).","Extract tests."
AA_0023,LT/4,"Monolithic test cases perform many similar assertions to verify logic across different locales.","Parameterise test using data-driven loop."
AA_0024,EmT,"Empty tests.","Remove empty tests."
AA_0025,RP,"Test prints to the console (`System.out.println`).","Remove print statements."
AA_0026,GF,"Resets the system's default TimeZone and Locale for every execution, despite these environment configurations only being required in 5 out of 11 tests.","Inline fixtures."
AA_0027,GF,"A variable is initialised in the `setUp` method for every test case, despite only being used in 4 out of 9 tests.","Inline fixture."
AA_0028,CTL,"Uses nested loops to dynamically calculate and verify expected array values.","Extract static array."
AA_0029,CTL,"Uses loops for data generation and verification.","Extracts loops into helper methods."
AA_0030,LT/4,"Redundant methods repeating identical logic for various inputs.","Parameterise test using data-driven loop."
AA_0031,ET,"Lacks atomicity; groups independent checks of production methods.","Extract tests."
AA_0032,CTL,"Uses nested loops to dynamically calculate and verify expected array values.","Extract static array."
AA_0033,LT/5,"Test performs many similar assertions to verify logic across different primitive types.","Parameterise test using `@ParameterizedTest`."
AA_0034,LT/5,"Test performs many similar assertions to verify logic across different primitive types.","Parameterise test using `@ParameterizedTest`."
AA_0035,ET,"Groups independent checks of production methods.","Extract tests."
AA_0036,LT/5,"Test performs many similar assertions to verify logic across different primitive types.","Parameterise test using `@ParameterizedTest`."
AA_0037,LT/5,"Test performs many similar assertions to verify logic across different primitive types.","Parameterise test using `@ParameterizedTest`."
AA_0038,UT,"No assertions are performed; verifies only that the execution completes without throwing an exception.","Add assert statements."
AA_0039,LT/4,"Contains massive, redundant assertion blocks repeating the same length-comparison logic across various array types.","Parameterise test using data-driven loop."
AA_0040,LT/4,"Test repeats identical parsing logic across multiple different date formats.","Parameterise test using data-driven loop."
